,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
2432,Brandon Soppy,fr FRA,DF,Udinese,it Serie A,21-081,2002,1,1,90,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,4,4,4,0.00,0.00,0.00,0.00,0.00,0.07,0.19,0.27,0.07,0.27,Matches,28f66c2e
2433,Brandon Soppy,fr FRA,DF,Atalanta,it Serie A,21-081,2002,14,7,596,6.6,0,3,3,0,0,0,2,0,0.3,0.3,1.3,1.6,23,32,34,0.00,0.45,0.45,0.00,0.45,0.05,0.20,0.25,0.05,0.25,Matches,28f66c2e
2434,David Soria,es ESP,GK,Getafe,es La Liga,30-039,1993,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8f8c6934
2435,Roberto Soriano,it ITA,FWMF,Bologna,it Serie A,32-094,1991,27,15,1326,14.7,1,3,4,1,0,0,1,0,0.6,0.6,2.5,3.1,30,56,66,0.07,0.20,0.27,0.07,0.27,0.04,0.17,0.21,0.04,0.21,Matches,9d4c45d6
2436,Borna Sosa,hr CRO,DF,Stuttgart,de Bundesliga,25-112,1998,23,20,1776,19.7,2,7,9,2,0,0,5,0,0.9,0.9,6.2,7.2,53,111,142,0.10,0.35,0.46,0.10,0.46,0.05,0.32,0.36,0.05,0.36,Matches,af0d79a9
2437,Joaquin Sosa,uy URU,DF,Bologna,it Serie A,21-123,2002,9,6,598,6.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,5,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,50841bef
2438,Hugo Sotelo,es ESP,MF,Celta Vigo,es La Liga,19-145,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches,3aa74860
2439,Florian Sotoca,fr FRA,MFFW,Lens,fr Ligue 1,32-200,1990,35,32,2858,31.8,6,8,14,5,1,3,4,0,10.3,7.9,7.9,15.8,44,174,266,0.19,0.25,0.44,0.16,0.41,0.32,0.25,0.57,0.25,0.50,Matches,7a42d0df
2440,Riccardo Sottil,it ITA,FW,Fiorentina,it Serie A,23-344,1999,16,8,758,8.4,0,2,2,0,0,0,1,0,1.0,1.0,1.1,2.1,63,26,117,0.00,0.24,0.24,0.00,0.24,0.12,0.13,0.25,0.12,0.25,Matches,94816803
2441,Tomáš Souček,cz CZE,MF,West Ham,eng Premier League,28-075,1995,34,30,2668,29.6,2,3,5,2,0,0,3,0,3.7,3.7,1.9,5.6,11,86,47,0.07,0.10,0.17,0.07,0.17,0.12,0.06,0.19,0.12,0.19,Matches,6613c819
2442,Matìas Soulé,ar ARG,MFFW,Juventus,it Serie A,20-028,2003,13,4,419,4.7,1,0,1,1,0,0,0,0,1.5,1.5,0.8,2.3,12,15,33,0.21,0.00,0.21,0.21,0.21,0.33,0.18,0.50,0.33,0.50,Matches,c13ddd3e
2443,Moussa Soumano,fr FRA,FW,Ajaccio,fr Ligue 1,17-308,2005,10,4,390,4.3,1,0,1,1,0,0,2,0,0.4,0.4,0.2,0.6,3,1,13,0.23,0.00,0.23,0.23,0.23,0.10,0.05,0.15,0.10,0.15,Matches,86a49468
2444,Adama Soumaoro,fr FRA,DF,Bologna,it Serie A,30-329,1992,23,22,1867,20.7,0,0,0,0,0,0,5,1,0.3,0.3,0.0,0.3,7,50,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,7b075c75
2445,Boubakary Soumaré,fr FRA,MF,Leicester City,eng Premier League,24-075,1999,23,17,1359,15.1,0,0,0,0,0,0,9,0,0.0,0.0,0.3,0.4,17,67,17,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.03,Matches,ae59b359
2446,Arnaud Souquet,fr FRA,DFFW,Montpellier,fr Ligue 1,31-090,1992,12,3,361,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,5,10,14,0.00,0.00,0.00,0.00,0.00,0.01,0.13,0.15,0.01,0.15,Matches,4e0afc5d
2447,Dyego Sousa,pt POR,FW,Almería,es La Liga,33-241,1989,16,2,390,4.3,0,1,1,0,0,0,1,0,0.7,0.7,0.8,1.6,7,10,29,0.00,0.23,0.23,0.00,0.23,0.16,0.20,0.36,0.16,0.36,Matches,e4738e91
2448,Harry Souttar,au AUS,DF,Leicester City,eng Premier League,24-203,1998,10,10,900,10.0,0,1,1,0,0,0,2,0,1.4,1.4,0.2,1.6,6,28,4,0.00,0.10,0.10,0.00,0.10,0.14,0.02,0.16,0.14,0.16,Matches,0a6cb1b1
2449,Vinicius Souza,br BRA,MF,Espanyol,es La Liga,23-330,1999,30,27,2343,26.0,0,1,1,0,0,0,9,1,0.5,0.5,0.6,1.0,12,80,12,0.00,0.04,0.04,0.00,0.04,0.02,0.02,0.04,0.02,0.04,Matches,6a8a7af8
2450,Djibril Sow,ch SUI,MF,Eint Frankfurt,de Bundesliga,26-096,1997,29,27,2388,26.5,4,0,4,4,0,0,7,0,1.6,1.6,0.8,2.4,35,176,27,0.15,0.00,0.15,0.15,0.15,0.06,0.03,0.09,0.06,0.09,Matches,4c6facae
2451,Çağlar Söyüncü,tr TUR,DF,Leicester City,eng Premier League,26-355,1996,7,6,529,5.9,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,5,12,0,0.17,0.00,0.17,0.17,0.17,0.07,0.01,0.08,0.07,0.08,Matches,21166ff4
2452,Kevin Spadanuda,ch SUI,MFFW,Ajaccio,fr Ligue 1,26-117,1997,20,11,937,10.4,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,17,17,53,0.00,0.10,0.10,0.00,0.10,0.07,0.06,0.13,0.07,0.13,Matches,a45a5d95
2453,Djed Spence,eng ENG,FWDF,Tottenham,eng Premier League,22-277,2000,4,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,2,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.83,0.83,0.83,Matches,9bc9a519
2454,Djed Spence,eng ENG,DF,Rennes,fr Ligue 1,22-277,2000,8,7,573,6.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,21,21,18,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,9bc9a519
2455,Stijn Spierings,nl NED,MF,Toulouse,fr Ligue 1,27-062,1996,33,32,2867,31.9,2,0,2,2,0,0,4,0,1.8,1.8,2.1,3.9,26,208,26,0.06,0.00,0.06,0.06,0.06,0.06,0.07,0.12,0.06,0.12,Matches,a08985b8
2456,Leonardo Spinazzola,it ITA,DF,Roma,it Serie A,30-049,1993,25,18,1645,18.3,1,4,5,1,0,0,3,0,1.0,1.0,2.0,3.0,105,61,86,0.05,0.22,0.27,0.05,0.27,0.06,0.11,0.17,0.06,0.17,Matches,3626daea
2457,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,31-003,1992,11,10,983,10.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ac4003af
2458,Jack Stacey,eng ENG,DF,Bournemouth,eng Premier League,27-037,1996,10,3,299,3.3,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,9,2,15,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,558807c0
2459,Anton Stach,de GER,MF,Mainz 05,de Bundesliga,24-179,1998,27,19,1821,20.2,1,4,5,1,0,0,4,0,2.0,2.0,3.5,5.5,31,96,69,0.05,0.20,0.25,0.05,0.25,0.10,0.17,0.27,0.10,0.27,Matches,0f59a7bf
2460,Kostas Stafylidis,gr GRE,DFMF,Bochum,de Bundesliga,29-162,1993,18,10,1008,11.2,0,2,2,0,0,0,3,0,0.3,0.3,0.7,1.1,9,26,14,0.00,0.18,0.18,0.00,0.18,0.03,0.06,0.10,0.03,0.10,Matches,861e0116
2461,Jens Stage,dk DEN,MF,Werder Bremen,de Bundesliga,26-186,1996,30,19,1675,18.6,3,2,5,3,0,0,4,0,2.6,2.6,1.5,4.1,19,56,52,0.16,0.11,0.27,0.16,0.27,0.14,0.08,0.22,0.14,0.22,Matches,1fffae99
2462,Veit Stange,de GER,MF,Hertha BSC,de Bundesliga,19-094,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e52d33d0
2463,Josip Stanišić,hr CRO,DF,Bayern Munich,de Bundesliga,23-041,2000,14,4,579,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,12,66,35,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,7ed08d5c
2464,Junior Stanislas,eng ENG,MF,Bournemouth,eng Premier League,33-168,1989,4,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,4,5,0.00,0.00,0.00,0.00,0.00,0.05,0.19,0.25,0.05,0.25,Matches,6992791d
2465,Jay Stansfield,eng ENG,FW,Fulham,eng Premier League,20-170,2002,3,1,87,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,2,0,4,0.00,0.00,0.00,0.00,0.00,0.26,0.09,0.35,0.26,0.35,Matches,b2626673
2466,Niklas Stark,de GER,DF,Werder Bremen,de Bundesliga,28-029,1995,24,20,1807,20.1,0,0,0,0,0,0,8,0,0.2,0.2,0.3,0.5,9,61,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,aad48be9
2467,Jason Steele,eng ENG,GK,Brighton,eng Premier League,32-268,1990,10,10,900,10.0,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.10,0.10,0.00,0.10,0.00,0.01,0.01,0.00,0.01,Matches,28300a16
2468,Calvin Stengs,nl NED,FW,Nice,fr Ligue 1,24-146,1998,4,3,212,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,10,12,16,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.17,0.12,0.17,Matches,8f7e6783
2469,Pascal Stenzel,de GER,DF,Stuttgart,de Bundesliga,27-054,1996,11,3,328,3.6,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,3,12,5,0.00,0.27,0.27,0.00,0.27,0.01,0.16,0.17,0.01,0.17,Matches,99f7e9aa
2470,Jack Stephens,eng ENG,DF,Southampton,eng Premier League,29-106,1994,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6adbc307
2471,Jack Stephens,eng ENG,DF,Bournemouth,eng Premier League,29-106,1994,15,13,1173,13.0,0,0,0,0,0,0,3,0,0.4,0.4,0.2,0.6,7,34,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches,6adbc307
2472,Raheem Sterling,eng ENG,FWMF,Chelsea,eng Premier League,28-156,1994,25,20,1643,18.3,4,3,7,4,0,0,4,0,4.6,4.6,4.2,8.8,68,51,157,0.22,0.16,0.38,0.22,0.38,0.25,0.23,0.48,0.25,0.48,Matches,b400bde0
2473,Angelo Stiller,de GER,MF,Hoffenheim,de Bundesliga,22-039,2001,19,6,670,7.4,1,1,2,1,0,0,0,0,0.3,0.3,0.5,0.8,4,31,16,0.13,0.13,0.27,0.13,0.27,0.04,0.06,0.10,0.04,0.10,Matches,3b1ed320
2474,Lars Stindl,de GER,FWMF,M'Gladbach,de Bundesliga,34-260,1988,26,19,1607,17.9,6,6,12,6,0,0,8,0,3.8,3.8,4.3,8.1,20,62,77,0.34,0.34,0.67,0.34,0.67,0.21,0.24,0.45,0.21,0.45,Matches,7cd6badb
2475,Kevin Stöger,at AUT,MF,Bochum,de Bundesliga,29-259,1993,29,27,2366,26.3,4,1,5,1,3,3,2,0,4.3,1.9,5.2,7.1,37,187,90,0.15,0.04,0.19,0.04,0.08,0.16,0.20,0.36,0.07,0.27,Matches,e5649a78
2476,Petar Stojanović,si SVN,DF,Empoli,it Serie A,27-218,1995,24,15,1423,15.8,0,1,1,0,0,0,3,0,0.2,0.2,0.9,1.2,46,85,46,0.00,0.06,0.06,0.00,0.06,0.02,0.06,0.08,0.02,0.08,Matches,13b44b02
2477,John Stones,eng ENG,DFMF,Manchester City,eng Premier League,28-350,1994,21,20,1729,19.2,2,2,4,2,0,0,2,0,1.0,1.0,1.3,2.4,27,99,34,0.10,0.10,0.21,0.10,0.21,0.05,0.07,0.12,0.05,0.12,Matches,5eecec3d
2478,Jørgen Strand Larsen,no NOR,FW,Celta Vigo,es La Liga,23-096,2000,28,17,1468,16.3,3,4,7,3,0,0,4,0,4.9,4.9,2.0,6.9,12,11,64,0.18,0.25,0.43,0.18,0.43,0.30,0.12,0.42,0.30,0.42,Matches,f553b2b3
2479,Gabriel Strefezza,br BRA,FWMF,Lecce,it Serie A,26-025,1997,32,27,2200,24.4,8,3,11,6,2,3,5,0,5.8,3.5,4.0,7.4,63,98,160,0.33,0.12,0.45,0.25,0.37,0.24,0.16,0.40,0.14,0.30,Matches,674cfc5a
2480,Dávid Strelec,sk SVK,FW,Spezia,it Serie A,22-039,2001,7,1,169,1.9,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,2,1,14,0.00,0.00,0.00,0.00,0.00,0.28,0.05,0.33,0.28,0.33,Matches,2cb9486d
2481,Pascal Struijk,nl NED,DF,Leeds United,eng Premier League,23-275,1999,26,24,2058,22.9,2,1,3,2,0,0,4,0,1.3,1.3,2.3,3.6,22,114,45,0.09,0.04,0.13,0.09,0.13,0.06,0.10,0.16,0.06,0.16,Matches,f4d296e4
2482,Cristhian Stuani,uy URU,FW,Girona,es La Liga,36-213,1986,27,6,871,9.7,7,0,7,3,4,5,7,0,8.1,4.1,0.9,5.0,1,9,21,0.72,0.00,0.72,0.31,0.31,0.83,0.09,0.92,0.42,0.52,Matches,220c11f1
2483,Damián Suárez,uy URU,DFMF,Getafe,es La Liga,35-016,1988,24,22,1621,18.0,1,0,1,1,0,0,5,0,0.4,0.4,1.4,1.7,16,72,61,0.06,0.00,0.06,0.06,0.06,0.02,0.08,0.10,0.02,0.10,Matches,ba5004e1
2484,Denis Suárez,es ESP,MF,Espanyol,es La Liga,29-127,1994,13,6,599,6.7,0,0,0,0,0,0,2,0,0.4,0.4,0.8,1.2,18,28,24,0.00,0.00,0.00,0.00,0.00,0.06,0.12,0.18,0.06,0.18,Matches,12c50af5
2485,Mario Suárez,es ESP,DFMF,Rayo Vallecano,es La Liga,36-078,1987,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7106f0a0
2486,Gabriel Suazo,cl CHI,DF,Toulouse,fr Ligue 1,25-277,1997,15,11,989,11.0,0,1,1,0,0,0,1,0,0.1,0.1,0.6,0.6,19,53,47,0.00,0.09,0.09,0.00,0.09,0.01,0.05,0.06,0.01,0.06,Matches,39b326ed
2487,Isaac Success,ng NGA,FW,Udinese,it Serie A,27-126,1996,30,21,1816,20.2,1,6,7,1,0,0,4,0,3.3,3.3,4.0,7.3,37,53,200,0.05,0.30,0.35,0.05,0.35,0.17,0.20,0.36,0.17,0.36,Matches,f573a8bf
2488,Niklas Süle,de GER,DF,Dortmund,de Bundesliga,27-252,1995,26,20,1848,20.5,1,3,4,1,0,0,2,0,1.7,1.7,1.9,3.6,28,104,51,0.05,0.15,0.19,0.05,0.19,0.08,0.09,0.17,0.08,0.17,Matches,e33c06cf
2489,Ibrahim Sulemana,gh GHA,MF,Hellas Verona,it Serie A,19-356,2003,13,3,387,4.3,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,3,12,5,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.12,0.07,0.12,Matches,230c3f3a
2490,Kamaldeen Sulemana,gh GHA,FWMF,Southampton,eng Premier League,21-087,2002,15,9,832,9.2,0,1,1,0,0,0,1,0,1.0,1.0,1.2,2.2,28,33,75,0.00,0.11,0.11,0.00,0.11,0.11,0.13,0.24,0.11,0.24,Matches,a62f8bf1
2491,Kamaldeen Sulemana,gh GHA,FWMF,Rennes,fr Ligue 1,21-087,2002,14,2,326,3.6,1,0,1,1,0,0,1,0,1.4,1.4,0.6,1.9,17,18,57,0.28,0.00,0.28,0.28,0.28,0.38,0.16,0.54,0.38,0.54,Matches,a62f8bf1
2492,Crysencio Summerville,nl NED,FW,Leeds United,eng Premier League,21-195,2001,27,12,1397,15.5,4,2,6,4,0,0,3,0,2.6,2.6,1.6,4.2,49,45,87,0.26,0.13,0.39,0.26,0.39,0.17,0.10,0.27,0.17,0.27,Matches,df04eb4b
2493,Ivan Šunjić,hr CRO,MF,Hertha BSC,de Bundesliga,26-216,1996,18,12,993,11.0,0,0,0,0,0,0,4,0,0.6,0.6,0.2,0.8,6,30,6,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches,e18098de
2494,Sam Surridge,eng ENG,FW,Nott'ham Forest,eng Premier League,24-289,1998,19,1,321,3.6,1,0,1,1,0,0,2,0,1.8,1.8,0.1,1.8,2,6,17,0.28,0.00,0.28,0.28,0.28,0.50,0.02,0.52,0.50,0.52,Matches,b017b770
2495,Suso,es ESP,MFFW,Sevilla,es La Liga,29-175,1993,22,10,964,10.7,2,3,5,2,0,0,1,0,0.9,0.9,2.5,3.5,23,80,85,0.19,0.28,0.47,0.19,0.47,0.09,0.24,0.32,0.09,0.32,Matches,4e219ad2
2496,Yuito Suzuki,jp JPN,FWMF,Strasbourg,fr Ligue 1,21-200,2001,2,0,24,0.3,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,2,2,4,3.75,0.00,3.75,3.75,3.75,0.51,0.00,0.51,0.51,0.51,Matches,c25a7a2a
2497,Mattias Svanberg,se SWE,MFFW,Wolfsburg,de Bundesliga,24-128,1999,29,20,1720,19.1,4,6,10,4,0,0,4,0,3.5,3.5,4.8,8.3,27,71,70,0.21,0.31,0.52,0.21,0.52,0.18,0.25,0.44,0.18,0.44,Matches,92d83c27
2498,Williot Swedberg,se SWE,MF,Celta Vigo,es La Liga,19-101,2004,3,0,53,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,184fe4b2
2499,Issiaga Sylla,gn GUI,DF,Montpellier,fr Ligue 1,29-132,1994,13,13,1125,12.5,1,3,4,1,0,0,0,0,0.7,0.7,2.0,2.7,27,66,57,0.08,0.24,0.32,0.08,0.32,0.06,0.16,0.21,0.06,0.21,Matches,b99bec05
2500,Issiaga Sylla,gn GUI,DF,Toulouse,fr Ligue 1,29-132,1994,17,16,1372,15.2,0,0,0,0,0,0,3,0,0.4,0.4,0.5,0.9,51,95,107,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches,b99bec05
2501,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,33-025,1990,25,25,2202,24.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,01b8a2b2
2502,Dominik Szoboszlai,hu HUN,MFFW,RB Leipzig,de Bundesliga,22-200,2000,28,26,2241,24.9,4,8,12,4,0,0,4,2,3.7,3.7,8.1,11.8,71,140,143,0.16,0.32,0.48,0.16,0.48,0.15,0.32,0.47,0.15,0.47,Matches,934e1968
2503,Alexander Sørloth,no NOR,FW,Real Sociedad,es La Liga,27-159,1995,29,24,2032,22.6,10,1,11,10,0,0,4,0,10.0,10.0,3.6,13.6,28,17,111,0.44,0.04,0.49,0.44,0.49,0.44,0.16,0.60,0.44,0.60,Matches,e92cd3f7
2504,Alexander Sørloth,no NOR,FW,RB Leipzig,de Bundesliga,27-159,1995,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e92cd3f7
2505,Nicolás Tagliafico,ar ARG,DF,Lyon,fr Ligue 1,30-255,1992,30,30,2631,29.2,1,3,4,1,0,0,4,0,2.3,1.8,3.9,5.6,31,136,155,0.03,0.10,0.14,0.03,0.14,0.08,0.13,0.21,0.06,0.19,Matches,f0661424
2506,Jonathan Tah,de GER,DF,Leverkusen,de Bundesliga,27-091,1996,30,25,2217,24.6,1,0,1,1,0,0,6,0,1.1,1.1,0.4,1.5,4,45,4,0.04,0.00,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,Matches,bd142efb
2507,Benjamin Tahirovic,ba BIH,MF,Roma,it Serie A,20-071,2003,8,1,145,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches,eb3022c3
2508,Waniss Taibi,fr FRA,MF,Angers,fr Ligue 1,21-067,2002,11,1,189,2.1,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.4,8,16,7,0.00,0.48,0.48,0.00,0.48,0.15,0.03,0.18,0.15,0.18,Matches,95192fe4
2509,Flavien Tait,fr FRA,MF,Rennes,fr Ligue 1,30-100,1993,28,19,1647,18.3,2,2,4,2,0,0,2,0,2.1,2.1,2.1,4.2,51,152,55,0.11,0.11,0.22,0.11,0.22,0.11,0.12,0.23,0.11,0.23,Matches,a0f9b535
2510,Montassar Talbi,tn TUN,DF,Lorient,fr Ligue 1,24-352,1998,34,34,3060,34.0,1,2,3,1,0,0,0,0,0.7,0.7,0.5,1.1,12,53,0,0.03,0.06,0.09,0.03,0.09,0.02,0.01,0.03,0.02,0.03,Matches,a4a44eb0
2511,Adrien Tameze,cm CMR,MF,Hellas Verona,it Serie A,29-098,1994,33,31,2700,30.0,0,0,0,0,0,0,2,0,0.7,0.7,0.8,1.5,26,93,47,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,8da74c05
2512,Japhet Tanganga,eng ENG,DF,Tottenham,eng Premier League,24-043,1999,4,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e9971f2d
2513,Renato Tapia,pe PER,MFDF,Celta Vigo,es La Liga,27-289,1995,24,13,1164,12.9,0,0,0,0,0,0,6,1,0.7,0.7,1.1,1.8,11,57,8,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14,Matches,34269bdf
2514,Edmond Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,24-100,1999,30,29,2601,28.9,1,0,1,0,1,2,4,0,2.3,0.7,0.9,1.7,32,147,8,0.03,0.00,0.03,0.00,0.00,0.08,0.03,0.11,0.02,0.06,Matches,a73c8f95
2515,Florian Tardieu,fr FRA,MF,Troyes,fr Ligue 1,31-021,1992,14,11,1008,11.2,3,0,3,0,3,3,2,0,2.9,0.5,1.0,1.5,20,83,17,0.27,0.00,0.27,0.00,0.00,0.26,0.09,0.35,0.05,0.14,Matches,ed39121c
2516,Matt Targett,eng ENG,DF,Newcastle Utd,eng Premier League,27-237,1995,15,5,535,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,3,42,13,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,e514ab62
2517,James Tarkowski,eng ENG,DF,Everton,eng Premier League,30-175,1992,35,35,3150,35.0,1,1,2,1,0,0,6,0,2.5,2.5,2.2,4.7,13,99,7,0.03,0.03,0.06,0.03,0.06,0.07,0.06,0.13,0.07,0.13,Matches,15ea812b
2518,Ciprian Tătărușanu,ro ROU,GK,Milan,it Serie A,37-093,1986,16,16,1440,16.0,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.06,0.06,0.00,0.06,0.00,0.03,0.03,0.00,0.03,Matches,b056e3da
2519,Niklas Tauer,de GER,DFMF,Mainz 05,de Bundesliga,22-085,2001,3,0,93,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,6,4,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,27270af4
2520,Nuno Tavares,pt POR,DFMF,Marseille,fr Ligue 1,23-107,2000,28,23,2251,25.0,6,0,6,6,0,0,5,1,4.3,4.3,2.6,6.9,93,108,234,0.24,0.00,0.24,0.24,0.24,0.17,0.11,0.28,0.17,0.28,Matches,a65c844b
2521,Marcus Tavernier,eng ENG,MFFW,Bournemouth,eng Premier League,24-052,1999,23,19,1743,19.4,5,4,9,5,0,0,1,0,3.1,3.1,2.9,6.0,67,56,137,0.26,0.21,0.46,0.26,0.46,0.16,0.15,0.31,0.16,0.31,Matches,5c0da4a4
2522,Enzo Tchato,cm CMR,DF,Montpellier,fr Ligue 1,20-171,2002,19,10,995,11.1,1,1,2,1,0,0,1,0,0.4,0.4,1.1,1.5,22,32,56,0.09,0.09,0.18,0.09,0.18,0.03,0.10,0.13,0.03,0.13,Matches,7f783431
2523,Aurélien Tchouaméni,fr FRA,MF,Real Madrid,es La Liga,23-106,2000,28,21,1813,20.1,0,4,4,0,0,0,1,0,1.7,1.7,2.1,3.8,36,123,19,0.00,0.20,0.20,0.00,0.20,0.08,0.11,0.19,0.08,0.19,Matches,4f255115
2524,Mathys Tel,fr FRA,FW,Bayern Munich,de Bundesliga,18-016,2005,19,1,377,4.2,4,0,4,4,0,0,2,0,2.1,2.1,0.4,2.5,12,9,54,0.95,0.00,0.95,0.95,0.95,0.49,0.11,0.60,0.49,0.60,Matches,829aa60c
2525,Semir Telalovic,de GER,MFFW,M'Gladbach,de Bundesliga,23-141,1999,3,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.74,0.00,0.74,0.74,0.74,Matches,0b45a8d7
2526,Alex Telles,br BRA,DF,Sevilla,es La Liga,30-149,1992,23,12,1145,12.7,0,2,2,0,0,0,5,0,0.4,0.4,1.6,1.9,19,32,75,0.00,0.16,0.16,0.00,0.16,0.03,0.12,0.15,0.03,0.15,Matches,e73c9bb2
2527,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,31-013,1992,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,6f51e382
